Species_LT,Nt_ex,Genus,Family
Sempervivum tectorum,exotic,Sempervivum,Crassulaceae
Crassula ovata,exotic,Crassula,Crassulaceae
Chimonanthus praecox,exotic,Chimonanthus,Calycanthaceae
Duranta erecta,exotic,Duranta,Verbenaceae
Pelargonium x hortorum,exotic,Pelargonium,Geraniaceae
Magnolia denudata,exotic,Magnolia,Magnoliaceae
Magnolia grandiflora,exotic,Magnolia,Magnoliaceae
Liriodendron tulipifera,exotic,Liriodendron,Magnoliaceae
Syringa reticulata,exotic,Syringa,Oleaceae
Olea europaea,exotic,Olea,Oleaceae
Jasminum nudiflorum,exotic,Jasminum,Oleaceae
Vitis vinifera,exotic,Vitis,Vitaceae
Punica granatum,exotic,Punica,Lythraceae
Serissa japonica,exotic,Serissa,Rubiaceae
Rubus spectabilis,exotic,Rubus,Rosaceae
Chaenomeles speciosa,exotic,Chaenomeles,Rosaceae
Rosa banksiae,exotic,Rosa,Rosaceae
Ficus carica,exotic,Ficus,Moraceae
Paeonia lactiflora,exotic,Paeonia,Paeoniaceae
Cedrus deodara,exotic,Cedrus,Pinaceae
Dracaena marginata,exotic,Dracaena,Asparagaceae
Hedera helix,exotic,Hedera,Araliaceae
Schlumbergera truncata,exotic,Schlumbergera,Cactaceae
Pilea cadierei,exotic,Pilea,Urticaceae
Laurus nobilis,exotic,Laurus,Lauraceae
Persea americana,exotic,Persea,Lauraceae
Justicia brandegeeana,exotic,Justicia,Acanthaceae
Chamaedorea elegans,exotic,Chamaedorea,Arecaceae
Cornus florida,exotic,Cornus,Cornaceae
Gelsemium sempervirens,exotic,Gelsemium,Gelsemiaceae
Hydrangea quercifolia,exotic,Hydrangea,Hydrangeaceae
Hydrangea arborescens,exotic,Hydrangea,Hydrangeaceae
Hypericum calycinum,exotic,Hypericum,Hypericaceae
Tibouchina urvilleana,exotic,Tibouchina,Melastomataceae
Callistemon citrinus,exotic,Callistemon,Myrtaceae
Eucalyptus cinerea,exotic,Eucalyptus,Myrtaceae
Myrtus communis,exotic,Myrtus,Myrtaceae
Cercis chinensis,exotic,Cercis,Leguminosae
Prunus mume,exotic,Prunus,Rosaceae
Rhaphiolepis indica,exotic,Rhaphiolepis,Rosaceae
Citrus reticulata,exotic,Citrus,Rutaceae
Dypsis lutescens,exotic,Dypsis,Arecaceae
Paeonia suffruticosa,exotic,Paeonia,Paeoniaceae
Sarcococca ruscifolia,exotic,Sarcococca,Buxaceae
Cupressus macrocarpa,exotic,Cupressus,Cupressaceae
Juniperus scopulorum,exotic,Juniperus,Cupressaceae
Lavandula dentata,exotic,Lavandula,Lamiaceae
Lavandula angustifolia,exotic,Lavandula,Lamiaceae
Paris polyphylla,exotic,Paris,Melanthiaceae
Fraxinus griffithii,exotic,Fraxinus,Oleaceae
Forsythia viridissima,exotic,Forsythia,Oleaceae
Ligustrum sinense,exotic,Ligustrum,Oleaceae
Jasminum mesnyi,exotic,Jasminum,Oleaceae
Mussaenda pubescens,exotic,Mussaenda,Rubiaceae
Chaenomeles sinensis,exotic,Chaenomeles,Rosaceae
Rosa chinensis,exotic,Rosa,Rosaceae
Spiraea cantoniensis,exotic,Spiraea,Rosaceae
Dracaena cambodiana,exotic,Dracaena,Asparagaceae
Hedera canariensis,exotic,Hedera,Araliaceae
Mahonia eurybracteata,exotic,Mahonia,Berberidaceae
Mandevilla sanderi,exotic,Mandevilla,Apocynaceae
Dendranthema morifolium,exotic,Dendranthema,Compositae
Osteospermum ecklonis,exotic,Osteospermum,Compositae
Cornus hongkongensis,exotic,Cornus,Cornaceae
Acacia baileyana,exotic,Acacia,Leguminosae
Abutilon megapotamicum,exotic,Abutilon,Malvaceae
Eucalyptus globulus,exotic,Eucalyptus,Myrtaceae
Brunfelsia australis,exotic,Brunfelsia,Solanaceae
Rosa hybrida,exotic,Rosa,Rosaceae
Taxus wallichiana,exotic,Taxus,Taxaceae
Prunus armeniaca,exotic,Prunus,Rosaceae
Cyrilla racemiflora,exotic,Cyrilla,Cyrillaceae
Brucea javanica,exotic,Brucea,Simaroubaceae
Muehlenbeckia axillaris,exotic,Muehlenbeckia,Polygonaceae
Lagerstroemia subcostata,native,Lagerstroemia,Lythraceae
Camellia rusticana,native,Camellia,Theaceae
Cycas revoluta,native,Cycas,Cycadaceae
Salix futura,native,Salix,Salicaceae
Triadica sebifera,native,Triadica,Euphorbiaceae
Enkianthus perulatus,native,Enkianthus,Ericaceae
Loropetalum chinense,native,Loropetalum,Hamamelidaceae
Osmanthus fragrans,native,Osmanthus,Oleaceae
Cotinus coggygria,native,Cotinus,Anacardiaceae
Lagerstroemia indica,native,Lagerstroemia,Lythraceae
Prunus x yedoensis,native,Prunus,Rosaceae
Prunus subhirtella,native,Prunus,Rosaceae
Daphne odora,native,Daphne,Thymelaeaceae
Picea glehnii,native,Picea,Pinaceae
Cordyline fruticosa,native,Cordyline,Asparagaceae
Viburnum odoratissimum,native,Viburnum,Adoxaceae
Citrus limon,native,Citrus,Rutaceae
Cornus officinalis,native,Cornus,Cornaceae
Quercus myrsinifolia,native,Quercus,Fagaceae
Magnolia liliiflora,native,Magnolia,Magnoliaceae
Ficus microcarpa,native,Ficus,Moraceae
Schefflera heptaphylla,native,Schefflera,Araliaceae
Eurya emarginata,native,Eurya,Pentaphylacaceae
Prunus spachiana,native,Prunus,Rosaceae
Abelia x grandiflora,exotic,Abelia,Caprifoliaceae
Osmanthus x fortunei,exotic,Osmanthus,Oleaceae
Citrus junos,exotic,Citrus,Rutaceae
Rhododendron kurume group,native,Rhododendron,Ericaceae
Rhododendron hirado group,native,Rhododendron,Ericaceae
Rhododendron spp.,exotic,Rhododendron,Ericaceae
Quercus phillyraeoides,native,Quercus,Fagaceae
